record,rank,value,name
"Top Grossing Director at the Domestic Box Office (Rank 901-1,000)",975,"$33,700,160",D-J-Caruso
Top Grossing Producer at the Domestic Box Office (Rank 101-200),120,"$809,318,256",D-J-Caruso
Top Grossing Screenwriter at the Domestic Box Office,96,"$650,893,664",D-J-Caruso
Top Grossing Story Creator at the Domestic Box Office (Rank 101-200),164,"$239,458,580",D-J-Caruso
Top Grossing Director at the International Box Office (Rank 401-500),401,"$187,100,000",D-J-Caruso
Top Grossing Associate Producer at the Domestic Box Office (Rank 801-900),886,"$30,038,362",Dean-Devlin
Top Grossing Director at the Domestic Box Office (Rank 201-300),228,"$341,032,453",Dean-Devlin
"Top Grossing Executive Producer at the Domestic Box Office (Rank 3,001-3,100)",3009,"$8,087,783",Dean-Devlin
"Top Grossing Producer at the Domestic Box Office (Rank 1,701-1,800)",1774,"$28,607,015",Dean-Devlin
"Top Grossing Screenwriter at the Domestic Box Office (Rank 2,501-2,600)",2550,"$2,423,467",Dean-Devlin
"Top Stars at the Domestic Box Office (Rank 8,201-8,300)",8258,"$188,665,349",F-Gary
"Top Stars at the International Box Office (Rank 27,401-27,500)",27488,"$41,454,410",F-Gary
"Top Stars at the Worldwide Box Office (Rank 14,601-14,700)",14694,"$230,119,759",F-Gary
Top Grossing Director at the Domestic Box Office,66,"$757,018,128",F-Gary
"Top Grossing Executive Producer at the Domestic Box Office (Rank 2,201-2,300)",2290,"$26,500,000",F-Gary
Top Grossing Director at the Domestic Box Office (Rank 601-700),606,"$92,532,917",Alex-Kurtzman
Top Grossing Executive Producer at the Domestic Box Office (Rank 201-300),278,"$379,243,756",Alex-Kurtzman
Top Grossing Producer at the Domestic Box Office (Rank 101-200),134,"$755,225,809",Alex-Kurtzman
Top Grossing Screenwriter at the Domestic Box Office,17,"$1,738,416,625",Alex-Kurtzman
Top Grossing Story Creator at the Domestic Box Office,51,"$444,922,654",Alex-Kurtzman
Top Grossing Director at the Domestic Box Office (Rank 401-500),431,"$169,368,312",Jordan-Vogt-Roberts
"Top Grossing Executive Producer at the Domestic Box Office (Rank 3,901-4,000)",3904,"$1,315,500",Jordan-Vogt-Roberts
Top Grossing Director at the International Box Office (Rank 201-300),219,"$393,132,024",Jordan-Vogt-Roberts
"Top Grossing Executive Producer at the International Box Office (Rank 5,201-5,300)",5234,"$47,109",Jordan-Vogt-Roberts
Top Grossing Director at the Worldwide Box Office (Rank 201-300),273,"$562,500,336",Jordan-Vogt-Roberts
Top Grossing Director at the Domestic Box Office (Rank 101-200),133,"$529,512,669",Lasse-HallstrA-m
"Top Grossing Executive Producer at the Domestic Box Office (Rank 2,901-3,000)",2941,"$9,170,214",Lasse-HallstrA-m
Top Grossing Director at the International Box Office (Rank 101-200),166,"$523,863,020",Lasse-HallstrA-m
Top Grossing Director at the Worldwide Box Office (Rank 101-200),144,"$1,053,375,689",Lasse-HallstrA-m
"Top Grossing Executive Producer at the Worldwide Box Office (Rank 3,401-3,500)",3457,"$9,170,214",Lasse-HallstrA-m
